iter	Accuracy	Logloss
0	0.7986754967	0.6496625219
1	0.8079470199	0.6117105569
2	0.8013245033	0.5868867888
3	0.8013245033	0.571118219
4	0.8013245033	0.5475675659
5	0.8013245033	0.536736133
6	0.8013245033	0.5176263228
7	0.8013245033	0.5048041444
8	0.8013245033	0.4954047716
9	0.8	0.4865815946
10	0.7986754967	0.4788395805
11	0.8	0.4716883427
12	0.8026490066	0.4649810172
13	0.7986754967	0.4625548072
14	0.8052980132	0.4580473762
15	0.8052980132	0.4533703867
16	0.8052980132	0.449648119
17	0.8052980132	0.44789217
18	0.8132450331	0.4415097529
19	0.821192053	0.4395546291
20	0.8251655629	0.4321487707
21	0.8278145695	0.4303557334
22	0.8278145695	0.430036982
23	0.8291390728	0.4296130847
24	0.8357615894	0.4256950907
25	0.8291390728	0.4203543532
26	0.842384106	0.4164381306
27	0.8344370861	0.4158658447
28	0.8344370861	0.4135000314
29	0.8370860927	0.4134335448
30	0.8344370861	0.413008948
31	0.8370860927	0.4125352434
32	0.8357615894	0.4122819917
33	0.8357615894	0.4112206269
34	0.8357615894	0.4088862163
35	0.838410596	0.4063448787
36	0.8344370861	0.4055980895
37	0.8357615894	0.4033334741
38	0.8370860927	0.4028532083
39	0.8370860927	0.4027254286
40	0.8397350993	0.4019635198
41	0.8397350993	0.4018874367
42	0.8410596026	0.4001993841
43	0.8410596026	0.4001890313
44	0.8397350993	0.3999467205
45	0.842384106	0.3983568267
46	0.8410596026	0.3982655728
47	0.842384106	0.3967212045
48	0.8437086093	0.396254276
49	0.8437086093	0.3939383919
50	0.8437086093	0.3937979006
51	0.842384106	0.3933182873
52	0.842384106	0.3932052619
53	0.842384106	0.3918039803
54	0.8437086093	0.3917092294
55	0.8437086093	0.3917087226
56	0.8397350993	0.3897945237
57	0.8410596026	0.3874656401
58	0.8410596026	0.3872284338
59	0.8410596026	0.3870882989
60	0.8410596026	0.3864311825
61	0.8490066225	0.3827668113
62	0.8437086093	0.3824479951
63	0.8437086093	0.3824137564
64	0.8437086093	0.3823122454
65	0.8437086093	0.382300287
66	0.8516556291	0.3800800357
67	0.8516556291	0.3794709333
68	0.8503311258	0.3794655609
69	0.8503311258	0.3787603993
70	0.8503311258	0.3787523167
71	0.8503311258	0.3785402261
72	0.8463576159	0.3783536844
73	0.8463576159	0.3777375393
74	0.8463576159	0.3775683153
75	0.8476821192	0.3774311852
76	0.8463576159	0.3772573736
77	0.8463576159	0.3772487672
78	0.8529801325	0.3764683507
79	0.8529801325	0.3763969805
80	0.8529801325	0.3762658412
81	0.8529801325	0.3762083865
82	0.8543046358	0.3761546361
83	0.8543046358	0.376091249
84	0.8543046358	0.3759729408
85	0.8516556291	0.3757461216
86	0.8516556291	0.3757409379
87	0.8516556291	0.3757409341
88	0.8503311258	0.3755163754
89	0.8503311258	0.375470274
90	0.8503311258	0.375430237
91	0.8529801325	0.3752357873
92	0.8529801325	0.3750160188
93	0.8529801325	0.3750159598
94	0.8529801325	0.3749809765
95	0.8529801325	0.3749800838
96	0.8516556291	0.3740089658
97	0.8516556291	0.3740085793
98	0.8516556291	0.373957322
99	0.8529801325	0.3737762974
100	0.8529801325	0.3734690059
101	0.8516556291	0.373334979
102	0.8516556291	0.3733168827
103	0.8503311258	0.3730853414
104	0.8503311258	0.3730814775
105	0.8503311258	0.3729793676
106	0.8503311258	0.3729713333
107	0.8503311258	0.3729710045
108	0.8503311258	0.3726048832
109	0.8503311258	0.3708241165
110	0.8503311258	0.3707501976
111	0.8516556291	0.3705266694
112	0.8516556291	0.3702538346
113	0.8516556291	0.3702129721
114	0.8529801325	0.3694005588
115	0.8529801325	0.3694001392
116	0.8503311258	0.3678910997
117	0.8503311258	0.3678854493
118	0.8503311258	0.3678603922
119	0.8503311258	0.3671978943
120	0.8516556291	0.3665653787
121	0.8516556291	0.3658966504
122	0.8516556291	0.3653026217
123	0.8529801325	0.3648708513
124	0.8529801325	0.3645005153
125	0.8543046358	0.3637245668
126	0.8529801325	0.3631020499
127	0.8556291391	0.3619052245
128	0.8569536424	0.3611736855
129	0.8556291391	0.3610659043
130	0.8582781457	0.3578783186
131	0.859602649	0.3570539285
132	0.859602649	0.3570464756
133	0.8582781457	0.3562037183
134	0.8569536424	0.3558707325
135	0.8569536424	0.3558630463
136	0.8582781457	0.3553300047
137	0.8569536424	0.3546909469
138	0.8556291391	0.3543610665
139	0.8556291391	0.3543521178
140	0.8569536424	0.3533015331
141	0.8582781457	0.3520968707
142	0.8569536424	0.3517172949
143	0.8582781457	0.3512320681
144	0.8582781457	0.3505765265
145	0.8582781457	0.350122537
146	0.859602649	0.3491929029
147	0.8622516556	0.3489823489
148	0.8609271523	0.3488296988
149	0.8622516556	0.3483821914
150	0.8609271523	0.3482835001
151	0.8622516556	0.3474440593
152	0.8622516556	0.3470791345
153	0.8622516556	0.3457353982
154	0.8622516556	0.3452619687
155	0.8609271523	0.3443910239
156	0.8622516556	0.3441962999
157	0.8622516556	0.3435075048
158	0.8662251656	0.3429698946
159	0.8635761589	0.3423910171
160	0.8635761589	0.3421631085
161	0.8649006623	0.3419012183
162	0.8649006623	0.3418202826
163	0.8649006623	0.3415882838
164	0.8649006623	0.3410943592
165	0.8649006623	0.3410487489
166	0.8649006623	0.3410435152
167	0.8649006623	0.3405847102
168	0.8662251656	0.3399512149
169	0.8675496689	0.3394319816
170	0.8675496689	0.3385928597
171	0.8675496689	0.3385609673
172	0.8701986755	0.3380316072
173	0.8701986755	0.3380275916
174	0.8715231788	0.3374952534
175	0.8715231788	0.3374952267
176	0.8715231788	0.3373251324
177	0.8701986755	0.3367976184
178	0.8701986755	0.3365160712
179	0.8701986755	0.3364989566
180	0.8701986755	0.3349977374
181	0.8701986755	0.3349299572
182	0.8715231788	0.3344772038
183	0.8715231788	0.33443033
184	0.8728476821	0.3343951157
185	0.8715231788	0.333548684
186	0.8715231788	0.3335128706
187	0.8715231788	0.3332726093
188	0.8728476821	0.3329328461
189	0.8741721854	0.3324369408
190	0.8741721854	0.3323373442
191	0.8741721854	0.3322961936
192	0.8741721854	0.3322827755
193	0.8754966887	0.3321146445
194	0.8754966887	0.3318790258
195	0.8754966887	0.3317670464
196	0.8741721854	0.3307770097
197	0.8754966887	0.330536318
198	0.8754966887	0.3305360946
199	0.8754966887	0.3305312602
200	0.8754966887	0.3290134945
201	0.8754966887	0.3289994384
202	0.8768211921	0.3282715703
203	0.8741721854	0.3277059597
204	0.8754966887	0.3272367877
205	0.8754966887	0.3269604233
206	0.8754966887	0.3267845477
207	0.8768211921	0.3260334627
208	0.8768211921	0.3257611984
209	0.8768211921	0.325505218
210	0.8768211921	0.3254768665
211	0.8768211921	0.3254440801
212	0.8768211921	0.3251359256
213	0.8768211921	0.3250007667
214	0.8768211921	0.3249350306
215	0.8768211921	0.3248717348
216	0.8768211921	0.3243930524
217	0.880794702	0.3240153741
218	0.880794702	0.3237485039
219	0.8781456954	0.3235277134
220	0.8781456954	0.323263178
221	0.8781456954	0.3232029957
222	0.8781456954	0.3231471066
223	0.8781456954	0.3231036533
224	0.8781456954	0.3230462815
225	0.8768211921	0.3224584236
226	0.8754966887	0.3206702975
227	0.8754966887	0.3206305556
228	0.8754966887	0.3203996529
229	0.8768211921	0.3202493575
230	0.8768211921	0.3199428721
231	0.8768211921	0.3196764729
232	0.8768211921	0.3194461138
233	0.8768211921	0.3193151142
234	0.8754966887	0.318971271
235	0.8754966887	0.3185643294
236	0.8754966887	0.3185622934
237	0.8741721854	0.318348547
238	0.8741721854	0.3182617826
239	0.8768211921	0.3175005826
240	0.8768211921	0.3172008442
241	0.8768211921	0.316688506
242	0.8768211921	0.3163551919
243	0.8781456954	0.316101071
244	0.8781456954	0.3158312079
245	0.8821192053	0.3154238563
246	0.880794702	0.3146914304
247	0.880794702	0.3144957286
248	0.8794701987	0.3142901466
249	0.880794702	0.3138388688
250	0.8794701987	0.3136907409
251	0.880794702	0.3135528431
252	0.880794702	0.3123469643
253	0.880794702	0.3121315984
254	0.880794702	0.3120865354
255	0.880794702	0.3120824183
256	0.880794702	0.3107321971
257	0.880794702	0.3105745779
258	0.880794702	0.3101573696
259	0.880794702	0.309962087
260	0.880794702	0.3094750887
261	0.880794702	0.3093495775
262	0.880794702	0.309316512
263	0.880794702	0.3093042404
264	0.8821192053	0.3090618457
265	0.8821192053	0.3088677782
266	0.8821192053	0.3088239405
267	0.8847682119	0.3078605452
268	0.8860927152	0.3077660948
269	0.8860927152	0.3073271002
270	0.8887417219	0.3067492696
271	0.8887417219	0.3066342327
272	0.8887417219	0.3063952768
273	0.8874172185	0.3063560147
274	0.8874172185	0.3062041694
275	0.8874172185	0.3060018703
276	0.8874172185	0.3054455458
277	0.8874172185	0.3053838062
278	0.8860927152	0.3050264289
279	0.8940397351	0.3044542074
280	0.8927152318	0.3043097477
281	0.8927152318	0.3042240798
282	0.8927152318	0.303944731
283	0.8927152318	0.303944094
284	0.8913907285	0.3036267368
285	0.8913907285	0.3036019749
286	0.8927152318	0.3035604804
287	0.8927152318	0.303040983
288	0.8913907285	0.3026191815
289	0.8940397351	0.3023133689
290	0.8940397351	0.3022952391
291	0.8940397351	0.3013247056
292	0.8940397351	0.301261849
293	0.8940397351	0.3012496451
294	0.8966887417	0.3009480858
295	0.8966887417	0.3009094149
296	0.898013245	0.3006083949
297	0.898013245	0.3005842066
298	0.898013245	0.3005412838
299	0.898013245	0.3002454639
300	0.8966887417	0.300231435
301	0.8966887417	0.3001859465
302	0.898013245	0.2996131642
303	0.898013245	0.2988465357
304	0.898013245	0.2987784834
305	0.898013245	0.2986660765
306	0.898013245	0.2984399388
307	0.898013245	0.2984382387
308	0.898013245	0.2983137383
309	0.898013245	0.2982237115
310	0.898013245	0.2981127136
311	0.898013245	0.2979781509
312	0.898013245	0.2977443604
313	0.898013245	0.2974989237
314	0.898013245	0.2974187155
315	0.8993377483	0.2967439917
316	0.8993377483	0.29656635
317	0.8993377483	0.2959104904
318	0.8993377483	0.2957735557
319	0.8993377483	0.2953678695
320	0.898013245	0.2952584859
321	0.8993377483	0.2952194301
322	0.8993377483	0.2949478634
323	0.9006622517	0.2947476114
324	0.9006622517	0.2943703946
325	0.9006622517	0.2942169206
326	0.9006622517	0.2935943839
327	0.9006622517	0.2935286002
328	0.9006622517	0.2933294006
329	0.9006622517	0.2930541884
330	0.9006622517	0.2930443379
331	0.9006622517	0.2928552845
332	0.9006622517	0.292715478
333	0.9006622517	0.292700716
334	0.9006622517	0.2926040773
335	0.8993377483	0.2924714692
336	0.9006622517	0.2921210559
337	0.9006622517	0.291292505
338	0.9006622517	0.2912847234
339	0.9006622517	0.2903765068
340	0.901986755	0.2900908348
341	0.8993377483	0.2898929862
342	0.8993377483	0.2898141666
343	0.8993377483	0.2895457341
344	0.8993377483	0.2895061895
345	0.8993377483	0.2891528074
346	0.9006622517	0.2891286013
347	0.901986755	0.2884278968
348	0.8993377483	0.2880606167
349	0.901986755	0.2875955284
350	0.9006622517	0.2872571893
351	0.9046357616	0.2856822766
352	0.9059602649	0.2855422627
353	0.9072847682	0.2853374753
354	0.9086092715	0.2851018442
355	0.9099337748	0.2847066349
356	0.9099337748	0.2846644655
357	0.9099337748	0.28425133
358	0.9099337748	0.2833478826
359	0.9086092715	0.2832133562
360	0.9086092715	0.2831971973
361	0.9086092715	0.2831738756
362	0.9086092715	0.2830809123
363	0.9086092715	0.282941442
364	0.9086092715	0.2829025618
365	0.9086092715	0.2828877554
366	0.9086092715	0.2826673954
367	0.9086092715	0.282613031
368	0.9099337748	0.2825881129
369	0.9099337748	0.2822214217
370	0.9099337748	0.2817781899
371	0.9099337748	0.281399473
372	0.9099337748	0.2813180994
373	0.9086092715	0.2810476802
374	0.9086092715	0.2810135611
375	0.9086092715	0.2809993055
376	0.9086092715	0.2806744232
377	0.9086092715	0.2800718687
378	0.9086092715	0.279960832
379	0.9086092715	0.2797912882
380	0.9099337748	0.2791377325
381	0.9099337748	0.2788035795
382	0.9099337748	0.2787872312
383	0.9099337748	0.2785847407
384	0.9099337748	0.2772676164
385	0.9099337748	0.2767750089
386	0.9099337748	0.2766428513
387	0.9099337748	0.2765857533
388	0.9086092715	0.2757644779
389	0.9086092715	0.2754950867
390	0.9086092715	0.2750989068
391	0.9086092715	0.274997724
392	0.9086092715	0.2749936735
393	0.9086092715	0.2747656431
394	0.9086092715	0.2747189519
395	0.9086092715	0.2747055472
396	0.9086092715	0.2744164031
397	0.9086092715	0.2742362078
398	0.9086092715	0.2741768132
399	0.9086092715	0.2741658765
400	0.9072847682	0.2738977842
401	0.9072847682	0.2734815342
402	0.9072847682	0.2734428552
403	0.9072847682	0.2734317438
404	0.9086092715	0.2733690824
405	0.9086092715	0.2726693688
406	0.9086092715	0.2726551229
407	0.9086092715	0.2721648664
408	0.9099337748	0.2719758373
409	0.9099337748	0.2717644943
410	0.9099337748	0.271672506
411	0.9099337748	0.2714847253
412	0.9099337748	0.2713614298
413	0.9099337748	0.2710396085
414	0.9112582781	0.2709851604
415	0.9112582781	0.2705770022
416	0.9099337748	0.270324986
417	0.9099337748	0.2703031313
418	0.9099337748	0.2702601768
419	0.9099337748	0.2700317577
420	0.9099337748	0.2698453463
421	0.9099337748	0.2697918332
422	0.9099337748	0.2693847978
423	0.9099337748	0.2693483495
424	0.9099337748	0.2692110753
425	0.9099337748	0.2691801056
426	0.9099337748	0.2691250342
427	0.9099337748	0.2689976162
428	0.9099337748	0.2688016084
429	0.9099337748	0.2686327426
430	0.9099337748	0.2686135513
431	0.9112582781	0.2681461855
432	0.9112582781	0.2671716049
433	0.9112582781	0.2671373784
434	0.9112582781	0.2669529699
435	0.9112582781	0.2669492205
436	0.9112582781	0.2668761209
437	0.9112582781	0.2667699251
438	0.9099337748	0.2664221734
439	0.9099337748	0.2663002262
440	0.9099337748	0.2662816362
441	0.9099337748	0.26623836
442	0.9099337748	0.2659012586
443	0.9099337748	0.2654774918
444	0.9099337748	0.265339881
445	0.9099337748	0.2650916126
446	0.9099337748	0.2645555776
447	0.9112582781	0.2640839995
448	0.9112582781	0.264060315
449	0.9112582781	0.2640379974
450	0.9125827815	0.2639180792
451	0.9125827815	0.2639151971
452	0.9125827815	0.2639103596
453	0.9125827815	0.2638381579
454	0.9112582781	0.2634610613
455	0.9112582781	0.2633864911
456	0.9112582781	0.2633373504
457	0.9112582781	0.263299418
458	0.9112582781	0.2632647104
459	0.9125827815	0.2630582048
460	0.9112582781	0.2628735892
461	0.9112582781	0.2628008327
462	0.9112582781	0.2627296037
463	0.9112582781	0.2627181903
464	0.9112582781	0.2625601768
465	0.9112582781	0.2624358536
466	0.9112582781	0.26239776
467	0.9125827815	0.2622168388
468	0.9125827815	0.262180414
469	0.9125827815	0.2618714607
470	0.9125827815	0.2617790324
471	0.9139072848	0.2615853627
472	0.9139072848	0.2615782626
473	0.9139072848	0.2613980791
474	0.9139072848	0.2613936991
475	0.9139072848	0.2611698915
476	0.9139072848	0.2610989849
477	0.9139072848	0.260917068
478	0.9139072848	0.2608431628
479	0.9139072848	0.260787097
480	0.9139072848	0.260693916
481	0.9139072848	0.260651349
482	0.9139072848	0.2604437995
483	0.9139072848	0.2603966556
484	0.9139072848	0.2602742699
485	0.9152317881	0.2599925056
486	0.9152317881	0.2598261304
487	0.9152317881	0.2597718214
488	0.9152317881	0.2592961695
489	0.9152317881	0.2591619685
490	0.9152317881	0.259084016
491	0.9152317881	0.2590010454
492	0.9152317881	0.2589629821
493	0.9152317881	0.2589395334
494	0.9152317881	0.2589061287
495	0.9152317881	0.258883528
496	0.9152317881	0.2588589763
497	0.9152317881	0.2588498603
498	0.9152317881	0.2588474856
499	0.9152317881	0.2585706203
500	0.9152317881	0.2584635534
501	0.9152317881	0.2581622708
502	0.9165562914	0.257557826
503	0.9165562914	0.257393411
504	0.9165562914	0.257309932
505	0.9165562914	0.2571635648
506	0.9165562914	0.2571586722
507	0.9165562914	0.2569339119
508	0.9165562914	0.2569311655
509	0.9165562914	0.2566270003
510	0.919205298	0.2557600773
511	0.919205298	0.2557364703
512	0.919205298	0.2557109312
513	0.919205298	0.2556203806
514	0.9178807947	0.2556106494
515	0.919205298	0.2554840387
516	0.9178807947	0.2552731905
517	0.9178807947	0.2552071046
518	0.9178807947	0.2551949266
519	0.919205298	0.254576687
520	0.919205298	0.2545562317
521	0.919205298	0.2545471635
522	0.9205298013	0.2537614203
523	0.9205298013	0.2537207372
524	0.9205298013	0.2536579815
525	0.9205298013	0.2535751013
526	0.9205298013	0.2535600499
527	0.9205298013	0.2535278461
528	0.9205298013	0.2534965796
529	0.9205298013	0.253299151
530	0.9205298013	0.2532159636
531	0.9205298013	0.2529108131
532	0.9205298013	0.2528961764
533	0.9205298013	0.2528224317
534	0.9205298013	0.2527661735
535	0.9205298013	0.2527475463
536	0.9205298013	0.2523251882
537	0.9205298013	0.2521800523
538	0.9205298013	0.2521236213
539	0.9205298013	0.2520255017
540	0.9205298013	0.252001654
541	0.9205298013	0.2519957656
542	0.9218543046	0.2518105942
543	0.9218543046	0.2508293152
544	0.9218543046	0.250817602
545	0.9218543046	0.2505732332
546	0.9218543046	0.2504723031
547	0.9218543046	0.2503238766
548	0.9218543046	0.2502550602
549	0.9205298013	0.2499542016
550	0.9218543046	0.2493580286
551	0.9218543046	0.2492035754
552	0.9218543046	0.2491656974
553	0.9218543046	0.2488453321
554	0.9218543046	0.2487488751
555	0.9218543046	0.2485950123
556	0.9218543046	0.2485532205
557	0.9218543046	0.2485464439
558	0.9218543046	0.2483910525
559	0.9218543046	0.2482890022
560	0.9218543046	0.2479881965
561	0.9218543046	0.2478052132
562	0.9218543046	0.2475432236
563	0.9218543046	0.2473040796
564	0.9218543046	0.2472672579
565	0.9218543046	0.2472582666
566	0.9218543046	0.2469757287
567	0.9218543046	0.2467468999
568	0.9218543046	0.2467367944
569	0.9218543046	0.2464744024
570	0.9218543046	0.2463799047
571	0.9218543046	0.246376975
572	0.9218543046	0.2461610645
573	0.9231788079	0.2459376542
574	0.9231788079	0.2457920229
575	0.9231788079	0.2457778915
576	0.9231788079	0.2457122667
577	0.9231788079	0.2456371833
578	0.9231788079	0.2455826309
579	0.9231788079	0.2452974393
580	0.9231788079	0.2452007776
581	0.9231788079	0.2451939088
582	0.9231788079	0.244937232
583	0.9231788079	0.2448671338
584	0.9231788079	0.2448460836
585	0.9231788079	0.2447812097
586	0.9231788079	0.2447190697
587	0.9231788079	0.2446582246
588	0.9218543046	0.2443063566
589	0.9218543046	0.2439349313
590	0.9218543046	0.243931745
591	0.9218543046	0.2439225338
592	0.9218543046	0.2438746537
593	0.9218543046	0.2436978391
594	0.9218543046	0.2436795127
595	0.9218543046	0.2435131411
596	0.9218543046	0.2434928212
597	0.9218543046	0.2434413209
598	0.9231788079	0.2431910769
599	0.9231788079	0.2426853001
600	0.9231788079	0.2425339935
601	0.9231788079	0.2425314736
602	0.9231788079	0.2424625177
603	0.9231788079	0.2421891798
604	0.9231788079	0.2421297692
605	0.9231788079	0.2421268139
606	0.9231788079	0.2414544781
607	0.9231788079	0.2414509343
608	0.9231788079	0.2414436487
609	0.9231788079	0.241345095
610	0.9231788079	0.2413185672
611	0.9231788079	0.2412762855
612	0.9231788079	0.2412211416
613	0.9231788079	0.2412149952
614	0.9231788079	0.2412009756
615	0.9231788079	0.241200716
616	0.9231788079	0.2410960636
617	0.9231788079	0.2410951216
618	0.9231788079	0.2410633134
619	0.9231788079	0.2409824062
620	0.9231788079	0.2409816954
621	0.9231788079	0.2409790695
622	0.9231788079	0.2409552281
623	0.9231788079	0.2408019516
624	0.9231788079	0.240648771
625	0.9231788079	0.2406118953
626	0.9231788079	0.2405910982
627	0.9231788079	0.2405704246
628	0.9231788079	0.2405551141
629	0.9231788079	0.2404702701
630	0.9231788079	0.2404185976
631	0.9231788079	0.2404148708
632	0.9231788079	0.2403967557
633	0.9231788079	0.2403135425
634	0.9231788079	0.2401546797
635	0.9231788079	0.2401164931
636	0.9231788079	0.2400579303
637	0.9231788079	0.2399389307
638	0.9231788079	0.2397989499
639	0.9231788079	0.2396674408
640	0.9231788079	0.2395371044
641	0.9231788079	0.2395181337
642	0.9231788079	0.2393304809
643	0.9231788079	0.239206437
644	0.9231788079	0.239204566
645	0.9231788079	0.2391147821
646	0.9231788079	0.2390244772
647	0.9231788079	0.2388434392
648	0.9231788079	0.2383477829
649	0.9231788079	0.2383281437
650	0.9231788079	0.2383078701
651	0.9231788079	0.2380729773
652	0.9231788079	0.2380184054
653	0.9231788079	0.237965209
654	0.9231788079	0.2379380942
655	0.9231788079	0.2375989883
656	0.9231788079	0.2375696691
657	0.9231788079	0.2371960079
658	0.9231788079	0.2370578368
659	0.9231788079	0.2367964602
660	0.9231788079	0.2366386754
661	0.9245033113	0.2365008634
662	0.9245033113	0.2362812815
663	0.9245033113	0.2360381387
664	0.9245033113	0.2356391743
665	0.9245033113	0.2356354546
666	0.9245033113	0.235530857
667	0.9245033113	0.235526458
668	0.9245033113	0.2352751187
669	0.9245033113	0.2352642043
670	0.9245033113	0.2352354392
671	0.9245033113	0.234985104
672	0.9245033113	0.2349658007
673	0.9245033113	0.2349358828
674	0.9231788079	0.234667017
675	0.9231788079	0.234510616
676	0.9231788079	0.2345051292
677	0.9231788079	0.234494596
678	0.9231788079	0.2344714939
679	0.9231788079	0.2344164505
680	0.9231788079	0.2343934173
681	0.9231788079	0.2343884071
682	0.9231788079	0.2343611872
683	0.9231788079	0.23428938
684	0.9231788079	0.2342474408
685	0.9231788079	0.2341441446
686	0.9231788079	0.2341358321
687	0.9231788079	0.2341096804
688	0.9231788079	0.234070879
689	0.9231788079	0.2340503328
690	0.9231788079	0.2340484149
691	0.9231788079	0.2337572158
692	0.9231788079	0.2332872863
693	0.9231788079	0.2332552715
694	0.9231788079	0.2331443152
695	0.9231788079	0.2330291435
696	0.9231788079	0.2329115258
697	0.9231788079	0.2328877408
698	0.9231788079	0.2327779169
699	0.9231788079	0.2327590358
700	0.9231788079	0.2327331624
701	0.9231788079	0.2326671645
702	0.9231788079	0.232646933
703	0.9245033113	0.2323864346
704	0.9245033113	0.2323171752
705	0.9258278146	0.23196822
706	0.9258278146	0.2318816375
707	0.9258278146	0.231838648
708	0.9271523179	0.2318362433
709	0.9271523179	0.2317557491
710	0.9271523179	0.2316937557
711	0.9258278146	0.2314828717
712	0.9271523179	0.2312788691
713	0.9271523179	0.23125827
714	0.9271523179	0.2312486719
715	0.9258278146	0.2306416166
716	0.9258278146	0.2304483207
717	0.9258278146	0.2304478964
718	0.9258278146	0.230424531
719	0.9258278146	0.2304203742
720	0.9258278146	0.2304115749
721	0.9258278146	0.2302826788
722	0.9258278146	0.2301415281
723	0.9258278146	0.2301028843
724	0.9258278146	0.2299999278
725	0.9258278146	0.2299780269
726	0.9258278146	0.2299685062
727	0.9258278146	0.2297144952
728	0.9258278146	0.2296378858
729	0.9258278146	0.2295891688
730	0.9258278146	0.2295661188
731	0.9258278146	0.2295497068
732	0.9258278146	0.2294877403
733	0.9258278146	0.2294376715
734	0.9258278146	0.2294371777
735	0.9258278146	0.229388907
736	0.9258278146	0.2292404925
737	0.9258278146	0.2292268637
738	0.9258278146	0.2291466786
739	0.9258278146	0.2291204139
740	0.9258278146	0.2291030225
741	0.9258278146	0.22897599
742	0.9258278146	0.2289599353
743	0.9258278146	0.2289548436
744	0.9258278146	0.2289382677
745	0.9258278146	0.2289199061
746	0.9258278146	0.2287977886
747	0.9258278146	0.2287214037
748	0.9258278146	0.228699879
749	0.9258278146	0.2286840822
750	0.9258278146	0.2286105595
