iter	Passed	Remaining
0	17	17307
1	36	18256
2	57	19084
3	72	18012
4	99	19763
5	114	18961
6	142	20232
7	159	19835
8	182	20076
9	201	19983
10	218	19603
11	240	19799
12	263	19973
13	281	19798
14	305	20084
15	325	20016
16	342	19805
17	365	19925
18	388	20051
19	406	19921
20	433	20222
21	450	20046
22	465	19781
23	483	19676
24	511	19939
25	537	20151
26	565	20385
27	590	20502
28	618	20703
29	633	20472
30	652	20388
31	668	20215
32	688	20169
33	708	20128
34	730	20131
35	754	20209
36	771	20069
37	794	20121
38	814	20068
39	831	19950
40	852	19929
41	871	19879
42	892	19853
43	906	19699
44	926	19667
45	950	19721
46	965	19580
47	993	19695
48	1019	19792
49	1048	19912
50	1062	19777
51	1083	19745
52	1102	19703
53	1123	19678
54	1142	19636
55	1157	19512
56	1180	19522
57	1207	19613
58	1223	19513
59	1242	19467
60	1262	19428
61	1290	19518
62	1308	19458
63	1326	19398
64	1340	19289
65	1360	19246
66	1382	19245
67	1400	19201
68	1420	19164
69	1446	19222
70	1463	19143
71	1480	19087
72	1501	19062
73	1525	19094
74	1541	19017
75	1561	18981
76	1585	19011
77	1601	18932
78	1624	18936
79	1642	18888
80	1658	18812
81	1672	18726
82	1691	18682
83	1705	18600
84	1722	18543
85	1737	18464
86	1755	18419
87	1769	18340
88	1793	18361
89	1808	18286
90	1823	18210
91	1840	18169
92	1861	18152
93	1875	18080
94	1892	18024
95	1907	17964
96	1934	18004
97	1948	17936
98	1963	17869
99	1983	17852
100	2001	17818
101	2025	17832
102	2045	17815
103	2070	17838
104	2086	17782
105	2106	17768
106	2125	17742
107	2140	17680
108	2160	17663
109	2187	17695
110	2205	17660
111	2225	17642
112	2247	17639
113	2266	17614
114	2292	17645
115	2307	17586
116	2330	17590
117	2350	17565
118	2371	17557
119	2397	17581
120	2424	17614
121	2452	17650
122	2478	17671
123	2500	17667
124	2522	17656
125	2549	17684
126	2572	17683
127	2600	17714
128	2628	17747
129	2654	17765
130	2682	17792
131	2704	17785
132	2725	17763
133	2750	17776
134	2778	17802
135	2802	17803
136	2829	17826
137	2852	17820
138	2879	17835
139	2895	17788
140	2923	17809
141	2951	17832
142	2978	17849
143	3004	17862
144	3031	17872
145	3057	17883
146	3080	17876
147	3106	17882
148	3132	17888
149	3159	17904
150	3185	17911
151	3211	17919
152	3239	17932
153	3265	17939
154	3291	17944
155	3319	17960
156	3342	17948
157	3368	17951
158	3393	17948
159	3421	17964
160	3447	17965
161	3474	17972
162	3496	17953
163	3522	17954
164	3549	17961
165	3567	17922
166	3585	17882
167	3612	17888
168	3639	17893
169	3665	17896
170	3692	17900
171	3718	17900
172	3745	17905
173	3762	17860
174	3790	17869
175	3807	17823
176	3829	17807
177	3853	17793
178	3879	17792
179	3900	17766
180	3927	17770
181	3949	17751
182	3975	17750
183	4000	17741
184	4026	17739
185	4053	17738
186	4078	17732
187	4104	17726
188	4127	17709
189	4153	17708
190	4180	17705
191	4206	17703
192	4229	17683
193	4255	17680
194	4281	17675
195	4307	17669
196	4334	17667
197	4356	17646
198	4376	17616
199	4396	17584
200	4423	17585
201	4445	17560
202	4468	17544
203	4496	17544
204	4524	17544
205	4550	17538
206	4577	17534
207	4605	17535
208	4631	17529
209	4658	17523
210	4680	17502
211	4706	17493
212	4732	17486
213	4759	17479
214	4785	17472
215	4811	17464
216	4838	17456
217	4864	17449
218	4886	17427
219	4909	17404
220	4935	17396
221	4961	17387
222	4987	17379
223	5010	17358
224	5036	17347
225	5060	17330
226	5087	17324
227	5112	17312
228	5135	17291
229	5162	17283
230	5189	17277
231	5212	17255
232	5238	17242
233	5263	17229
234	5290	17222
235	5316	17211
236	5338	17188
237	5364	17176
238	5390	17165
239	5417	17154
240	5443	17143
241	5469	17132
242	5492	17111
243	5520	17103
244	5547	17095
245	5570	17074
246	5594	17055
247	5617	17034
248	5645	17028
249	5668	17006
250	5695	16995
251	5718	16973
252	5745	16962
253	5768	16942
254	5794	16930
255	5810	16887
256	5838	16878
257	5864	16865
258	5890	16853
259	5918	16844
260	5946	16836
261	5973	16826
262	5996	16802
263	6022	16789
264	6048	16774
265	6074	16763
266	6096	16737
267	6124	16727
268	6146	16703
269	6170	16682
270	6196	16669
271	6222	16655
272	6251	16647
273	6277	16634
274	6305	16624
275	6333	16614
276	6356	16592
277	6383	16578
278	6410	16565
279	6432	16540
280	6459	16528
281	6485	16513
282	6512	16498
283	6534	16474
284	6557	16450
285	6579	16425
286	6600	16397
287	6623	16374
288	6649	16359
289	6672	16336
290	6695	16312
291	6722	16298
